IDCLIENTE,SEGMENTO,EDAD,PRODUCTO
886394,A2,MAYORES A 65 AÑOS,CTA
570939,A1,MAYORES A 65 AÑOS,CTA & TC
203799,A2,MAYORES A 65 AÑOS,CTA & TC
440642,A2,MAYORES A 65 AÑOS,CTA
855842,A2,MAYORES A 65 AÑOS,CTA & TC
461355,P1,EMPRESA,CTA
2092824,A3,MAYORES A 65 AÑOS,CTA & TC
1072287,A3,MAYORES A 65 AÑOS,CTA
492331,A2,MAYORES A 65 AÑOS,CTA
561148,A1,MAYORES A 65 AÑOS,CTA
386249,A2,MAYORES A 65 AÑOS,CTA
389178,A3,MAYORES A 65 AÑOS,CTA
120866,A3,MAYORES A 65 AÑOS,CTA
122751,B1,EMPRESA,CTA
173588,A3,MAYORES A 65 AÑOS,CTA
53151,A1,MAYORES A 65 AÑOS,CTA & TC
225846,A3,MAYORES A 65 AÑOS,CTA
796770,A2,46 A 65 AÑOS,CTA & TC
183391,A2,46 A 65 AÑOS,CTA & TC
639274,A2,MAYORES A 65 AÑOS,CTA
830268,A2,MAYORES A 65 AÑOS,TC
689850,A1,MAYORES A 65 AÑOS,CTA
702606,A1,MAYORES A 65 AÑOS,CTA & TC
1406458,A1,MAYORES A 65 AÑOS,CTA
820571,A3,MAYORES A 65 AÑOS,CTA
1766489,A3,MAYORES A 65 AÑOS,CTA
351884,A3,MAYORES A 65 AÑOS,CTA
450716,A3,MAYORES A 65 AÑOS,CTA
417975,A1,MAYORES A 65 AÑOS,TC
309699,A2,MAYORES A 65 AÑOS,CTA
1628948,A2,MAYORES A 65 AÑOS,CTA
868149,A3,46 A 65 AÑOS,CTA
1053425,A3,46 A 65 AÑOS,CTA
949083,A2,46 A 65 AÑOS,CTA
1349822,A2,36 A 45 AÑOS,CTA & TC
1402573,P2,EMPRESA,CTA & TC
1800598,A3,36 A 45 AÑOS,CTA & TC
674591,A3,46 A 65 AÑOS,CTA & TC
1326116,A2,36 A 45 AÑOS,CTA & TC
1093297,A2,36 A 45 AÑOS,CTA
1359575,A2,36 A 45 AÑOS,CTA & TC
1360880,A3,36 A 45 AÑOS,CTA
1364012,A3,36 A 45 AÑOS,CTA
2496842,A3,36 A 45 AÑOS,CTA
987228,A3,36 A 45 AÑOS,CTA
1400661,A2,36 A 45 AÑOS,CTA & TC
1193407,A1,36 A 45 AÑOS,CTA
1307464,A1,36 A 45 AÑOS,CTA & TC
2883066,A3,23 A 30 AÑOS,CTA
2225145,B1,EMPRESA,CTA
758168,B1,EMPRESA,CTA
673253,A1,46 A 65 AÑOS,CTA & TC
2768601,A3,46 A 65 AÑOS,CTA & TC
635785,A2,46 A 65 AÑOS,TC
662088,A3,46 A 65 AÑOS,CTA & TC
559428,A1,46 A 65 AÑOS,CTA
562676,A2,46 A 65 AÑOS,CTA & TC
2711007,P2,EMPRESA,CTA
563093,P1,EMPRESA,CTA
1182389,P2,EMPRESA,CTA & TC
4333431,E3,EMPRESA,CTA
2720567,P2,EMPRESA,CTA
532199,P2,EMPRESA,CTA
398248,P2,EMPRESA,CTA
524454,A3,46 A 65 AÑOS,CTA
692136,A2,MAYORES A 65 AÑOS,CTA & TC
401121,A2,46 A 65 AÑOS,CTA
631352,A3,46 A 65 AÑOS,CTA
1215758,A3,36 A 45 AÑOS,CTA & TC
2908789,A3,36 A 45 AÑOS,CTA
1389529,A2,36 A 45 AÑOS,CTA & TC
1525510,A2,36 A 45 AÑOS,CTA & TC
1741625,A3,36 A 45 AÑOS,CTA
2658774,A2,36 A 45 AÑOS,CTA
2643723,A3,46 A 65 AÑOS,CTA
3703932,A1,36 A 45 AÑOS,CTA & TC
4286108,A3,23 A 30 AÑOS,CTA
3243342,A3,23 A 30 AÑOS,CTA
2702137,A3,23 A 30 AÑOS,CTA
2520296,A2,MAYORES A 65 AÑOS,CTA
169181,A2,MAYORES A 65 AÑOS,CTA
100165,A2,OTROS NO IDENTIFICADOS,CTA
2132453,A2,OTROS NO IDENTIFICADOS,CTA
1691585,A3,MAYORES A 65 AÑOS,CTA
1253338,A3,MAYORES A 65 AÑOS,CTA
975953,A2,MAYORES A 65 AÑOS,CTA & TC
3352955,A3,MAYORES A 65 AÑOS,CTA
3581040,A3,MAYORES A 65 AÑOS,CTA
629520,A1,MAYORES A 65 AÑOS,CTA
1531468,A2,46 A 65 AÑOS,CTA
1451514,A2,46 A 65 AÑOS,CTA
1411929,A2,46 A 65 AÑOS,CTA
707829,A1,46 A 65 AÑOS,CTA
1045679,A1,46 A 65 AÑOS,CTA
716782,A3,46 A 65 AÑOS,CTA
760543,A3,46 A 65 AÑOS,CTA
3479604,A3,36 A 45 AÑOS,CTA
3357804,A2,36 A 45 AÑOS,CTA & TC
3690536,A1,36 A 45 AÑOS,CTA & TC
772270,A2,36 A 45 AÑOS,CTA & TC
728306,A3,36 A 45 AÑOS,CTA & TC
4010318,A2,36 A 45 AÑOS,CTA
1374276,A3,36 A 45 AÑOS,CTA & TC
1966098,A2,46 A 65 AÑOS,CTA & TC
144619,A1,46 A 65 AÑOS,CTA & TC
4023959,A3,23 A 30 AÑOS,CTA
3576182,A3,23 A 30 AÑOS,CTA
673424,A1,46 A 65 AÑOS,CTA
3710624,B1,EMPRESA,CTA
789189,A3,36 A 45 AÑOS,CTA & TC
19734,A2,46 A 65 AÑOS,CTA
691230,A2,46 A 65 AÑOS,CTA
558439,A3,MAYORES A 65 AÑOS,CTA
1450803,P1,EMPRESA,CTA & TC
111967,P2,EMPRESA,CTA
746382,A2,MAYORES A 65 AÑOS,CTA
3130044,E3,EMPRESA,CTA
1819633,B1,EMPRESA,CTA & TC
3978613,A3,46 A 65 AÑOS,CTA
1727292,A3,46 A 65 AÑOS,CTA
291864,B1,EMPRESA,CTA
4136491,A3,18 A 22 AÑOS,CTA
4235191,A3,18 A 22 AÑOS,CTA & TC
139448,B1,EMPRESA,CTA
184572,A3,MAYORES A 65 AÑOS,CTA
334444,A2,MAYORES A 65 AÑOS,CTA & TC
4054579,A3,MAYORES A 65 AÑOS,CTA
2253523,A2,MAYORES A 65 AÑOS,CTA
15443,A1,MAYORES A 65 AÑOS,CTA
92931,A2,MAYORES A 65 AÑOS,CTA
97774,A2,MAYORES A 65 AÑOS,CTA
28389,A1,MAYORES A 65 AÑOS,CTA & TC
2069978,A3,MAYORES A 65 AÑOS,CTA
376805,A3,MAYORES A 65 AÑOS,CTA
197121,A2,MAYORES A 65 AÑOS,CTA
379386,A3,MAYORES A 65 AÑOS,CTA
169803,A2,MAYORES A 65 AÑOS,CTA
114044,A2,OTROS NO IDENTIFICADOS,CTA
2066463,A3,OTROS NO IDENTIFICADOS,CTA & TC
1702041,A3,OTROS NO IDENTIFICADOS,CTA & TC
1446755,P2,EMPRESA,CTA
570946,A1,MAYORES A 65 AÑOS,CTA
897189,A3,MAYORES A 65 AÑOS,CTA & TC
1087081,P2,EMPRESA,CTA
410493,A2,MAYORES A 65 AÑOS,CTA
2041,A1,MAYORES A 65 AÑOS,CTA
723065,A3,MAYORES A 65 AÑOS,CTA
643621,A1,MAYORES A 65 AÑOS,CTA
813,A3,MAYORES A 65 AÑOS,CTA
46836,A2,MAYORES A 65 AÑOS,CTA
7918,P1,EMPRESA,CTA
35439,A3,MAYORES A 65 AÑOS,CTA
166151,A2,MAYORES A 65 AÑOS,CTA
288965,A3,MAYORES A 65 AÑOS,CTA
83587,A3,MAYORES A 65 AÑOS,CTA
3600166,A2,OTROS NO IDENTIFICADOS,CTA
2092536,A3,OTROS NO IDENTIFICADOS,CTA & TC
3516830,A3,OTROS NO IDENTIFICADOS,CTA & TC
41132,A1,OTROS NO IDENTIFICADOS,CTA & TC
83259,A2,MAYORES A 65 AÑOS,CTA
1041002,A1,46 A 65 AÑOS,CTA
1069683,A3,46 A 65 AÑOS,CTA
1034970,A2,46 A 65 AÑOS,CTA & TC
1058286,A2,46 A 65 AÑOS,CTA
902469,A1,46 A 65 AÑOS,CTA & TC
2903061,A1,46 A 65 AÑOS,CTA & TC
1661901,A3,46 A 65 AÑOS,CTA
2360377,A1,46 A 65 AÑOS,CTA & TC
452274,A1,46 A 65 AÑOS,CTA
318671,A2,46 A 65 AÑOS,CTA & TC
333142,A1,46 A 65 AÑOS,CTA & TC
301793,A3,46 A 65 AÑOS,CTA
3066633,E2,EMPRESA,CTA
14654,A2,MAYORES A 65 AÑOS,CTA
60242,A1,MAYORES A 65 AÑOS,CTA
355897,A1,MAYORES A 65 AÑOS,CTA & TC
67898,A2,MAYORES A 65 AÑOS,CTA
837417,A3,36 A 45 AÑOS,CTA
4289893,A2,46 A 65 AÑOS,CTA
1768157,A2,46 A 65 AÑOS,CTA
873217,A1,MAYORES A 65 AÑOS,CTA
1743907,A2,46 A 65 AÑOS,CTA & TC
1444896,A1,36 A 45 AÑOS,CTA & TC
2915653,A2,36 A 45 AÑOS,CTA
829779,A3,36 A 45 AÑOS,CTA
1596443,A2,36 A 45 AÑOS,CTA & TC
834582,A2,36 A 45 AÑOS,CTA
753787,P2,EMPRESA,CTA & TC
444003,A2,46 A 65 AÑOS,CTA & TC
3839707,A3,23 A 30 AÑOS,CTA
3884252,A3,23 A 30 AÑOS,CTA & TC
3745110,A3,18 A 22 AÑOS,CTA
3725071,A3,18 A 22 AÑOS,CTA
4393619,A3,18 A 22 AÑOS,CTA
3551929,A3,18 A 22 AÑOS,CTA
4196410,A3,23 A 30 AÑOS,CTA
4047232,A3,23 A 30 AÑOS,CTA
1534896,E3,EMPRESA,CTA & TC
413428,P2,EMPRESA,CTA & TC
1677016,A2,46 A 65 AÑOS,CTA & TC
1328842,A2,46 A 65 AÑOS,CTA
3385666,A3,36 A 45 AÑOS,CTA
2436866,A3,36 A 45 AÑOS,CTA
818140,A3,36 A 45 AÑOS,CTA & TC
949058,A1,36 A 45 AÑOS,CTA & TC
825779,A3,36 A 45 AÑOS,CTA
3292922,A3,23 A 30 AÑOS,CTA
3240142,A3,23 A 30 AÑOS,CTA
1237597,A3,46 A 65 AÑOS,CTA
827275,A1,MAYORES A 65 AÑOS,CTA & TC
57713,A2,MAYORES A 65 AÑOS,CTA
270399,B1,EMPRESA,CTA
319583,A3,MAYORES A 65 AÑOS,CTA
1331524,A2,MAYORES A 65 AÑOS,CTA
93326,A2,MAYORES A 65 AÑOS,CTA
99358,A2,MAYORES A 65 AÑOS,CTA
501232,A3,MAYORES A 65 AÑOS,CTA
595192,A2,MAYORES A 65 AÑOS,CTA & TC
882814,B1,EMPRESA,CTA
3468485,B1,EMPRESA,CTA
147022,A2,MAYORES A 65 AÑOS,CTA & TC
147573,A2,MAYORES A 65 AÑOS,CTA & TC
150647,A3,MAYORES A 65 AÑOS,CTA & TC
237531,A2,MAYORES A 65 AÑOS,CTA
724224,A3,MAYORES A 65 AÑOS,CTA
17520,A1,MAYORES A 65 AÑOS,CTA
415882,A2,MAYORES A 65 AÑOS,CTA
612415,A2,MAYORES A 65 AÑOS,CTA
383808,A2,MAYORES A 65 AÑOS,CTA & TC
613633,A1,MAYORES A 65 AÑOS,CTA & TC
289557,A3,MAYORES A 65 AÑOS,CTA
1433197,A1,36 A 45 AÑOS,CTA & TC
1685120,A3,46 A 65 AÑOS,CTA
1323792,A2,36 A 45 AÑOS,CTA
1282815,A3,36 A 45 AÑOS,CTA
1252829,A3,36 A 45 AÑOS,CTA & TC
1079095,B1,EMPRESA,CTA & TC
1075424,A2,36 A 45 AÑOS,CTA
909196,A3,36 A 45 AÑOS,CTA
1047178,A3,36 A 45 AÑOS,CTA
144067,A3,MAYORES A 65 AÑOS,CTA & TC
35781,A2,46 A 65 AÑOS,CTA
2257192,A2,46 A 65 AÑOS,CTA & TC
148794,A1,46 A 65 AÑOS,TC
1331242,A3,46 A 65 AÑOS,CTA
138532,A2,46 A 65 AÑOS,CTA & TC
2274143,A3,46 A 65 AÑOS,CTA
3211785,A2,46 A 65 AÑOS,CTA
1241766,A3,46 A 65 AÑOS,CTA
3776777,A2,36 A 45 AÑOS,CTA
103701,A1,36 A 45 AÑOS,CTA & TC
1263478,A3,36 A 45 AÑOS,CTA
3125568,A3,31 A 35 AÑOS,CTA
2634482,A3,31 A 35 AÑOS,CTA
3442992,A2,23 A 30 AÑOS,CTA
3493829,A3,23 A 30 AÑOS,CTA
3141711,A3,23 A 30 AÑOS,CTA & TC
830586,A2,MAYORES A 65 AÑOS,CTA & TC
1036918,A3,MAYORES A 65 AÑOS,CTA
20296,A2,MAYORES A 65 AÑOS,CTA
69122,A3,MAYORES A 65 AÑOS,CTA
3865029,A3,MAYORES A 65 AÑOS,CTA
424584,A1,MAYORES A 65 AÑOS,CTA & TC
651296,A3,46 A 65 AÑOS,CTA
1025396,A2,46 A 65 AÑOS,CTA
759031,A1,46 A 65 AÑOS,CTA & TC
808070,A2,46 A 65 AÑOS,CTA
854731,A1,46 A 65 AÑOS,CTA & TC
1079916,A3,46 A 65 AÑOS,CTA
398354,A1,MAYORES A 65 AÑOS,CTA
453918,A1,46 A 65 AÑOS,CTA
964927,A2,MAYORES A 65 AÑOS,CTA
3064970,A2,46 A 65 AÑOS,CTA & TC
3602192,P2,EMPRESA,CTA
304978,A2,46 A 65 AÑOS,CTA & TC
352190,A3,46 A 65 AÑOS,CTA
111662,A3,MAYORES A 65 AÑOS,CTA
451674,A1,MAYORES A 65 AÑOS,CTA
565644,A2,MAYORES A 65 AÑOS,CTA & TC
696648,A2,MAYORES A 65 AÑOS,CTA & TC
438186,A1,MAYORES A 65 AÑOS,CTA & TC
440709,A3,MAYORES A 65 AÑOS,CTA
799368,A3,36 A 45 AÑOS,CTA & TC
1971102,A1,36 A 45 AÑOS,CTA & TC
1830581,A2,46 A 65 AÑOS,CTA
1286860,A2,46 A 65 AÑOS,CTA & TC
228270,A2,46 A 65 AÑOS,CTA
4147973,B1,EMPRESA,CTA & TC
1444666,A2,31 A 35 AÑOS,CTA & TC
1783650,A3,31 A 35 AÑOS,CTA
1565664,A2,31 A 35 AÑOS,CTA
1391954,P2,EMPRESA,CTA
1164130,A1,36 A 45 AÑOS,CTA
2035831,A3,31 A 35 AÑOS,CTA
1557205,A3,31 A 35 AÑOS,CTA & TC
1946363,A3,31 A 35 AÑOS,CTA
4184412,A3,31 A 35 AÑOS,CTA & TC
1136483,A2,36 A 45 AÑOS,CTA
1351972,A3,36 A 45 AÑOS,CTA
1148015,A2,36 A 45 AÑOS,CTA & TC
1639275,B1,EMPRESA,CTA
4001914,P2,EMPRESA,CTA & TC
3741396,P2,EMPRESA,CTA
550386,A2,46 A 65 AÑOS,CTA & TC
326709,A3,46 A 65 AÑOS,CTA
207737,A2,46 A 65 AÑOS,CTA
606185,A3,46 A 65 AÑOS,CTA
2220085,A3,MAYORES A 65 AÑOS,CTA
1529419,A2,46 A 65 AÑOS,CTA
1507205,A2,46 A 65 AÑOS,CTA & TC
225952,A2,46 A 65 AÑOS,CTA & TC
411929,A3,46 A 65 AÑOS,CTA
847312,A1,36 A 45 AÑOS,CTA
766895,A2,36 A 45 AÑOS,CTA
720205,A3,36 A 45 AÑOS,CTA & TC
612411,A3,36 A 45 AÑOS,CTA
452219,A1,36 A 45 AÑOS,CTA
1368659,A3,36 A 45 AÑOS,CTA & TC
1095037,A2,36 A 45 AÑOS,CTA
4223698,B1,EMPRESA,CTA & TC
715276,A3,46 A 65 AÑOS,CTA & TC
1658262,A3,36 A 45 AÑOS,CTA
1755383,A1,36 A 45 AÑOS,CTA
1271189,A3,36 A 45 AÑOS,CTA
3658875,P2,EMPRESA,CTA
1931073,A3,36 A 45 AÑOS,CTA
838189,A3,36 A 45 AÑOS,CTA
4038824,A2,23 A 30 AÑOS,CTA
3243081,A3,23 A 30 AÑOS,CTA
2655880,A3,31 A 35 AÑOS,CTA & TC
3640129,A2,23 A 30 AÑOS,CTA & TC
4396464,A1,46 A 65 AÑOS,CTA
1525005,B1,EMPRESA,CTA
4302388,A3,18 A 22 AÑOS,CTA & TC
144403,P2,EMPRESA,CTA
3032,A2,46 A 65 AÑOS,CTA & TC
3559905,P1,EMPRESA,CTA & TC
298353,A1,MAYORES A 65 AÑOS,CTA
1785994,A3,36 A 45 AÑOS,CTA
2924268,P1,EMPRESA,CTA
3963719,A2,36 A 45 AÑOS,CTA
4085486,B1,EMPRESA,CTA
1377350,P2,EMPRESA,CTA
361660,A2,46 A 65 AÑOS,CTA
230464,A2,46 A 65 AÑOS,CTA
258072,A3,46 A 65 AÑOS,CTA
305342,A2,46 A 65 AÑOS,CTA
424586,A1,MAYORES A 65 AÑOS,TC
478294,A2,MAYORES A 65 AÑOS,TC
479280,A3,46 A 65 AÑOS,CTA
387959,A2,46 A 65 AÑOS,CTA
393121,A1,46 A 65 AÑOS,CTA & TC
439550,A3,46 A 65 AÑOS,CTA
440710,A3,46 A 65 AÑOS,CTA
680656,E2,EMPRESA,CTA & TC
3053105,A2,MAYORES A 65 AÑOS,CTA
1328370,A3,MAYORES A 65 AÑOS,CTA
840160,A1,MAYORES A 65 AÑOS,CTA
812262,A2,MAYORES A 65 AÑOS,CTA
897058,A2,MAYORES A 65 AÑOS,CTA
723058,A3,MAYORES A 65 AÑOS,CTA
2698915,A2,36 A 45 AÑOS,CTA
2452035,A3,36 A 45 AÑOS,CTA
374095,A3,46 A 65 AÑOS,CTA
377633,A2,46 A 65 AÑOS,CTA
433284,A2,46 A 65 AÑOS,CTA & TC
582257,A2,46 A 65 AÑOS,TC
781347,A3,46 A 65 AÑOS,CTA
728364,A3,46 A 65 AÑOS,CTA & TC
2165814,A3,46 A 65 AÑOS,CTA
1981258,A2,46 A 65 AÑOS,CTA
2018440,A1,31 A 35 AÑOS,CTA & TC
4017396,A3,31 A 35 AÑOS,CTA
1203827,A3,36 A 45 AÑOS,CTA
852927,A2,36 A 45 AÑOS,CTA
514445,A1,46 A 65 AÑOS,CTA
3464847,A2,23 A 30 AÑOS,CTA
1404050,A2,31 A 35 AÑOS,CTA
629160,P2,EMPRESA,CTA
4008946,A3,36 A 45 AÑOS,CTA
2266642,A2,36 A 45 AÑOS,CTA
2181788,A2,46 A 65 AÑOS,CTA & TC
1906679,A3,36 A 45 AÑOS,CTA & TC
690064,A3,36 A 45 AÑOS,CTA & TC
2106580,A3,36 A 45 AÑOS,CTA
1320589,A3,31 A 35 AÑOS,CTA
1343040,A3,36 A 45 AÑOS,CTA & TC
3244343,A3,23 A 30 AÑOS,CTA
3043231,A3,23 A 30 AÑOS,CTA
2298657,A2,31 A 35 AÑOS,CTA
2651062,A3,23 A 30 AÑOS,CTA
3342539,A3,23 A 30 AÑOS,CTA
2601751,A3,23 A 30 AÑOS,CTA
387343,A2,OTROS NO IDENTIFICADOS,CTA & TC
3714869,P1,EMPRESA,CTA
3434744,P1,EMPRESA,CTA & TC
322609,A1,46 A 65 AÑOS,CTA
911889,P1,EMPRESA,CTA
573981,P1,EMPRESA,CTA
716690,P2,EMPRESA,CTA
539964,A1,46 A 65 AÑOS,CTA & TC
1150066,P2,EMPRESA,CTA
120292,A2,MAYORES A 65 AÑOS,CTA
2078666,P2,EMPRESA,CTA & TC
3831096,P1,EMPRESA,CTA
1301984,E1,EMPRESA,CTA
3836887,A3,18 A 22 AÑOS,CTA
1385115,B1,EMPRESA,CTA
3269133,A3,23 A 30 AÑOS,CTA & TC
841294,A2,MAYORES A 65 AÑOS,CTA
924291,A3,MAYORES A 65 AÑOS,CTA
808523,A1,MAYORES A 65 AÑOS,CTA & TC
773230,A2,MAYORES A 65 AÑOS,CTA & TC
3378772,A2,MAYORES A 65 AÑOS,CTA
768435,A2,MAYORES A 65 AÑOS,CTA & TC
904614,A1,46 A 65 AÑOS,CTA & TC
946809,A2,46 A 65 AÑOS,CTA
680618,A3,46 A 65 AÑOS,CTA
1046482,A2,46 A 65 AÑOS,CTA & TC
2379559,A1,46 A 65 AÑOS,CTA & TC
637223,A2,46 A 65 AÑOS,CTA
703575,A1,46 A 65 AÑOS,CTA
679186,A3,46 A 65 AÑOS,CTA
1292044,A2,46 A 65 AÑOS,CTA
1292305,A2,46 A 65 AÑOS,CTA & TC
1070802,A3,46 A 65 AÑOS,CTA
2485004,A2,36 A 45 AÑOS,CTA & TC
2858246,A1,36 A 45 AÑOS,CTA
4022782,A3,36 A 45 AÑOS,CTA
569876,A2,36 A 45 AÑOS,CTA
914116,B1,EMPRESA,CTA & TC
1952270,A3,31 A 35 AÑOS,CTA
3653537,A3,36 A 45 AÑOS,CTA
3711432,A2,31 A 35 AÑOS,CTA
3296415,A3,31 A 35 AÑOS,CTA & TC
2934031,A3,31 A 35 AÑOS,CTA
4355741,A3,31 A 35 AÑOS,TC
4262721,A3,31 A 35 AÑOS,CTA & TC
3702442,A1,36 A 45 AÑOS,CTA
1195040,A1,36 A 45 AÑOS,CTA & TC
1661585,A2,31 A 35 AÑOS,CTA & TC
999375,A1,36 A 45 AÑOS,CTA & TC
439900,A1,36 A 45 AÑOS,CTA & TC
1190013,A1,36 A 45 AÑOS,CTA & TC
3797840,A3,23 A 30 AÑOS,CTA
3718844,A2,23 A 30 AÑOS,CTA & TC
1339176,A3,31 A 35 AÑOS,CTA
1641006,E3,EMPRESA,CTA
805426,B1,EMPRESA,CTA
449161,E1,EMPRESA,CTA & TC
547543,P2,EMPRESA,CTA
266066,E3,EMPRESA,CTA
102564,P2,EMPRESA,CTA
9532,A2,MAYORES A 65 AÑOS,CTA & TC
234688,A2,MAYORES A 65 AÑOS,CTA & TC
22509,A2,MAYORES A 65 AÑOS,CTA
442586,A2,MAYORES A 65 AÑOS,CTA
223259,A3,MAYORES A 65 AÑOS,CTA & TC
1170777,A3,MAYORES A 65 AÑOS,CTA
12667,A1,MAYORES A 65 AÑOS,CTA
435690,A2,MAYORES A 65 AÑOS,CTA
375544,A2,MAYORES A 65 AÑOS,CTA & TC
2099210,A3,MAYORES A 65 AÑOS,CTA
891701,A3,MAYORES A 65 AÑOS,CTA & TC
184670,A2,MAYORES A 65 AÑOS,CTA & TC
65973,P1,EMPRESA,CTA & TC
896051,A3,MAYORES A 65 AÑOS,CTA
608168,A2,MAYORES A 65 AÑOS,CTA & TC
1193845,A3,MAYORES A 65 AÑOS,CTA
1204256,A2,MAYORES A 65 AÑOS,CTA & TC
1115110,A3,MAYORES A 65 AÑOS,CTA
2065979,A2,MAYORES A 65 AÑOS,CTA
321502,A3,46 A 65 AÑOS,CTA
322343,A1,46 A 65 AÑOS,CTA
4174262,A3,46 A 65 AÑOS,CTA
1123711,A1,46 A 65 AÑOS,CTA & TC
2199428,P2,EMPRESA,CTA & TC
120518,P2,EMPRESA,CTA
990748,P2,EMPRESA,CTA
460449,P2,EMPRESA,CTA & TC
2013069,P2,EMPRESA,CTA
2428291,B1,EMPRESA,CTA
294561,A2,46 A 65 AÑOS,CTA
26920,A2,46 A 65 AÑOS,CTA
629211,A1,46 A 65 AÑOS,CTA & TC
728971,A3,46 A 65 AÑOS,CTA
732973,A2,46 A 65 AÑOS,CTA & TC
748049,A1,46 A 65 AÑOS,CTA
464690,A1,46 A 65 AÑOS,CTA & TC
557200,A3,46 A 65 AÑOS,CTA
798596,A2,46 A 65 AÑOS,CTA & TC
799089,A2,46 A 65 AÑOS,CTA
560999,A3,46 A 65 AÑOS,CTA
2722090,A1,46 A 65 AÑOS,CTA & TC
663050,A1,46 A 65 AÑOS,CTA & TC
3838645,A3,46 A 65 AÑOS,CTA & TC
1275088,A3,46 A 65 AÑOS,CTA
953797,A2,46 A 65 AÑOS,CTA & TC
861084,A1,MAYORES A 65 AÑOS,TC
897858,A1,46 A 65 AÑOS,CTA & TC
1745983,A3,36 A 45 AÑOS,CTA & TC
2150380,A3,36 A 45 AÑOS,CTA & TC
2822869,A3,46 A 65 AÑOS,CTA
2527475,A3,36 A 45 AÑOS,CTA
921996,A2,36 A 45 AÑOS,CTA & TC
669319,A3,36 A 45 AÑOS,CTA
3561841,A3,46 A 65 AÑOS,CTA & TC
1437540,A2,36 A 45 AÑOS,TC
4274245,A3,31 A 35 AÑOS,CTA
1725579,A3,31 A 35 AÑOS,CTA
1932088,A3,31 A 35 AÑOS,CTA
1567392,A3,31 A 35 AÑOS,CTA
3137474,A2,31 A 35 AÑOS,CTA & TC
3257472,A3,31 A 35 AÑOS,CTA
1117883,A1,31 A 35 AÑOS,CTA
1483431,A3,31 A 35 AÑOS,CTA & TC
1707535,A3,36 A 45 AÑOS,CTA & TC
2097237,A3,36 A 45 AÑOS,CTA
1816140,A2,31 A 35 AÑOS,CTA
2008787,A1,31 A 35 AÑOS,CTA
3817523,A3,23 A 30 AÑOS,CTA & TC
3898868,A3,23 A 30 AÑOS,CTA
226406,A3,OTROS NO IDENTIFICADOS,CTA
3521033,A3,OTROS NO IDENTIFICADOS,CTA
2254060,P2,EMPRESA,CTA
3035248,P2,EMPRESA,CTA
4021231,P1,EMPRESA,CTA
3934434,B1,EMPRESA,CTA
142860,P2,EMPRESA,CTA & TC
1225168,A2,46 A 65 AÑOS,CTA
427276,A2,46 A 65 AÑOS,CTA & TC
479853,A2,46 A 65 AÑOS,CTA
461148,A1,46 A 65 AÑOS,CTA & TC
349759,A3,46 A 65 AÑOS,CTA
2021385,A3,46 A 65 AÑOS,CTA
150824,A3,46 A 65 AÑOS,CTA & TC
151085,A2,46 A 65 AÑOS,CTA
467599,P2,EMPRESA,CTA
3958648,A2,31 A 35 AÑOS,CTA
4057625,P1,EMPRESA,CTA
1128510,A1,36 A 45 AÑOS,CTA & TC
48724,P2,EMPRESA,CTA
3867169,E3,EMPRESA,CTA
2413053,A3,MAYORES A 65 AÑOS,CTA & TC
800983,A2,46 A 65 AÑOS,CTA
964862,A2,46 A 65 AÑOS,CTA & TC
1058010,A1,46 A 65 AÑOS,CTA & TC
1023171,B1,EMPRESA,CTA
4293512,A2,46 A 65 AÑOS,CTA
673702,E2,EMPRESA,CTA & TC
35660,A2,MAYORES A 65 AÑOS,CTA & TC
102113,A2,MAYORES A 65 AÑOS,CTA
1620876,A1,36 A 45 AÑOS,CTA & TC
1443367,A2,36 A 45 AÑOS,CTA
2257919,A3,31 A 35 AÑOS,CTA & TC
3171535,B1,EMPRESA,CTA & TC
2695575,A3,31 A 35 AÑOS,CTA
1374144,A3,31 A 35 AÑOS,CTA & TC
2600581,B1,EMPRESA,CTA
339469,A3,MAYORES A 65 AÑOS,CTA
1509911,A2,MAYORES A 65 AÑOS,CTA
1572754,A3,MAYORES A 65 AÑOS,CTA
53697,A2,OTROS NO IDENTIFICADOS,CTA
687442,A3,OTROS NO IDENTIFICADOS,CTA & TC
502894,A1,OTROS NO IDENTIFICADOS,CTA & TC
717294,A3,MAYORES A 65 AÑOS,CTA
1054053,A2,MAYORES A 65 AÑOS,CTA
1009045,A3,MAYORES A 65 AÑOS,CTA
1034333,A3,MAYORES A 65 AÑOS,CTA
977221,A1,MAYORES A 65 AÑOS,CTA
402994,A2,MAYORES A 65 AÑOS,CTA
276902,A2,MAYORES A 65 AÑOS,CTA & TC
241174,A1,MAYORES A 65 AÑOS,CTA & TC
927,A3,MAYORES A 65 AÑOS,CTA
2536848,A3,OTROS NO IDENTIFICADOS,CTA
977236,A2,OTROS NO IDENTIFICADOS,CTA & TC
2587825,A3,OTROS NO IDENTIFICADOS,CTA
3040108,E3,EMPRESA,CTA & TC
2862860,P1,EMPRESA,CTA
1093862,A3,MAYORES A 65 AÑOS,CTA
3939589,A2,MAYORES A 65 AÑOS,CTA
979104,A3,MAYORES A 65 AÑOS,CTA & TC
327235,A2,MAYORES A 65 AÑOS,CTA & TC
1409307,A1,36 A 45 AÑOS,CTA
655243,A2,36 A 45 AÑOS,CTA
1160771,A3,36 A 45 AÑOS,CTA
1579963,A3,36 A 45 AÑOS,CTA
3560099,A3,36 A 45 AÑOS,CTA
1371361,A3,31 A 35 AÑOS,CTA & TC
